Time,start_time,Torque,Position,Velocity,Control_mode,subtask,Subtask
1726094956.2472534,1726094956.2463632,"[  0.     0.     0.     0.     0.     0.     0.     0.   -10.72   0.
   0.     0.     0.     0.     0.     0.  ]","[3.181476  4.5099034 3.417709  3.2413013 3.195282  4.4500785 3.8564277
 3.9484665 3.3164666 4.5175734 4.5175734 3.83035   4.9378843 3.0848353
 3.199884  2.946777 ]","[-0.04796165 -0.815348   -0.26378906 -0.11990412 -0.04796165 -0.8633097
 -0.6235014  -0.8393288  -0.16786577 -0.815348   -0.8872905  -0.69544387
 -0.7913672   0.16786577 -0.04796165  0.28776988]",pos,,start
1726094956.329689,1726094956.2463632,"[ -16.08 -359.12  -41.54  -20.1   -20.1  -313.56  -50.92  -36.18  -25.46
 -292.12  -91.12  -37.52 -380.56   13.4   -18.76   17.42]","[3.1722722 4.144816  3.342544  3.2106218 3.181476  4.091127  3.6109908
 3.6447384 3.273515  4.137146  4.0558453 3.583379  4.4500785 3.1001751
 3.1768742 3.0127382]","[-0.0959233  -5.995206   -1.3429261  -0.551559   -0.21582742 -6.0671487
 -3.7410085  -4.2925673  -0.5995206  -6.3309374  -7.050362   -3.669066
 -8.561154    0.21582742 -0.26378906  0.8872905 ]",pos,,start
1726094956.4083605,1726094956.2463632,"[-14.74 -81.74 -22.78 -17.42 -20.1  -76.38 -12.06  -9.38 -21.44 -54.94
   0.    -8.04  -9.38  10.72 -18.76  14.74]","[3.1584663 3.7183695 3.2551072 3.1768742 3.1692042 3.6830878 3.3824277
 3.3824277 3.2320976 3.6938257 3.592583  3.354816  3.8380198 3.115515
 3.1615343 3.0710294]","[-0.0959233  -3.9328551  -0.7194247  -0.28776988 -0.07194247 -3.9328551
 -2.0383701  -2.3741016  -0.33573154 -4.2925673  -4.3165483  -2.1103125
 -6.019187    0.11990412 -0.1918466   0.5275781 ]",pos,,start
1726094956.4880621,1726094956.2463632,"[ -14.74 -105.86  -24.12  -16.08  -18.76  -89.78  -18.76  -17.42  -25.46
  -81.74  -16.08  -17.42  -54.94    8.04  -16.08   14.74]","[3.1553984 3.509748  3.2213597 3.1630683 3.1630683 3.4836705 3.275049
 3.2581751 3.2213597 3.4836705 3.360952  3.2428353 3.5235538 3.121651
 3.1492627 3.0986412]","[ 0.         -1.7026385  -0.23980825 -0.0959233  -0.02398082 -1.6546768
 -0.8393288  -1.1270987  -0.02398082 -1.7026385  -1.8705043  -0.8872905
 -2.5419674   0.02398082 -0.04796165  0.26378906]",pos,,start
1726094956.5680788,1726094956.2463632,"[-14.74 -88.44 -22.78  -2.68 -20.1  -80.4  -20.1  -18.76 -25.46 -80.4
 -21.44 -17.42 -64.32  10.72 -18.76  12.06]","[3.1523306 3.4146411 3.2121558 3.1600003 3.1630683 3.3962336 3.2366996
 3.199884  3.2213597 3.3962336 3.267379  3.19835   3.3962336 3.121651
 3.1492627 3.112447 ]","[-0.04796165 -0.6714631   0.          0.02398082  0.         -0.6714631
 -0.21582742 -0.4796165   0.         -0.5995206  -0.69544387 -0.35971236
 -0.93525213  0.02398082  0.          0.0959233 ]",pos,,start
1726094956.64792,1726094956.2463632,"[-13.4  -97.82 -24.12 -16.08 -18.76 -91.12 -22.78 -17.42 -26.8  -99.16
 -24.12 -16.08 -71.02  10.72 -17.42  14.74]","[3.1492627 3.3900976 3.2121558 3.1584663 3.1630683 3.3732238 3.2305636
 3.1768742 3.2198257 3.3793597 3.2366996 3.1799421 3.35635   3.121651
 3.1492627 3.112447 ]","[-0.02398082 -0.14388494  0.02398082  0.          0.         -0.0959233
  0.         -0.1918466   0.         -0.02398082 -0.21582742 -0.16786577
 -0.28776988  0.02398082  0.02398082  0.02398082]",pos,,start
1726094956.728532,1726094956.2463632,"[ -14.74 -109.88  -25.46  -16.08  -18.76  -95.14  -24.12  -17.42  -26.8
  -99.16  -26.8   -17.42  -75.04   10.72  -17.42   14.74]","[3.1477287 3.3870296 3.2136898 3.1584663 3.1630683 3.3716898 3.2305636
 3.1692042 3.2213597 3.3778257 3.2305636 3.1738062 3.345612  3.121651
 3.1492627 3.112447 ]","[ 0.          0.         -0.02398082  0.          0.         -0.02398082
  0.         -0.04796165  0.          0.          0.          0.
 -0.04796165  0.02398082  0.          0.02398082]",pos,,start
1726094956.8082304,1726094956.2463632,"[ -14.74 -107.2   -26.8    -8.04  -20.1   -91.12  -22.78  -17.42  -25.46
  -99.16  -26.8   -16.08  -76.38   12.06  -18.76   14.74]","[3.1477287 3.3870296 3.2136898 3.1584663 3.1630683 3.3716898 3.2305636
 3.1661363 3.2198257 3.3778257 3.2305636 3.1722722 3.342544  3.121651
 3.1492627 3.112447 ]","[ 0.          0.02398082  0.02398082  0.02398082  0.          0.
  0.          0.          0.          0.          0.         -0.02398082
 -0.04796165  0.02398082  0.02398082  0.02398082]",pos,,start
1726094956.8879154,1726094956.2463632,"[ -14.74 -107.2   -24.12  -16.08  -20.1   -91.12  -24.12  -17.42  -25.46
  -99.16  -26.8   -14.74  -77.72   10.72  -18.76   14.74]","[3.1477287 3.3854957 3.2136898 3.1584663 3.1630683 3.3716898 3.2305636
 3.1661363 3.2198257 3.3778257 3.2305636 3.1692042 3.342544  3.121651
 3.1492627 3.112447 ]","[ 0.          0.          0.          0.          0.          0.
  0.          0.          0.02398082  0.          0.         -0.02398082
  0.          0.02398082  0.02398082  0.02398082]",pos,,start
1726094956.9677486,1726094956.2463632,"[ -16.08 -109.88  -25.46  -16.08  -20.1   -92.46  -22.78  -17.42  -25.46
 -100.5   -28.14  -16.08  -79.06   10.72  -17.42   14.74]","[3.1477287 3.3870296 3.2121558 3.1584663 3.1630683 3.3716898 3.2305636
 3.1661363 3.2198257 3.3778257 3.2305636 3.1692042 3.342544  3.121651
 3.1492627 3.112447 ]","[0.         0.02398082 0.02398082 0.02398082 0.         0.
 0.         0.02398082 0.         0.         0.         0.02398082
 0.         0.02398082 0.02398082 0.02398082]",pos,,start
